,Código Departamento,Código Municipio,Medio Tecnologico,Utiliza,Cantidad
0,7,701,celular,Usa,47386
1,7,702,celular,Usa,1925
2,7,703,celular,Usa,1591
3,7,704,celular,Usa,11922
4,7,705,celular,Usa,31939
5,7,706,celular,Usa,20593
6,7,707,celular,Usa,5253
7,7,708,celular,Usa,3009
8,7,709,celular,Usa,6898
9,7,710,celular,Usa,10067
10,7,711,celular,Usa,1662
11,7,712,celular,Usa,7106
12,7,713,celular,Usa,13558
13,7,714,celular,Usa,2719
14,7,715,celular,Usa,3248
15,7,716,celular,Usa,1527
16,7,717,celular,Usa,6898
17,7,718,celular,Usa,6629
18,7,719,celular,Usa,19548
19,8,801,celular,Usa,59101
20,8,802,celular,Usa,17306
21,8,803,celular,Usa,25711
22,8,804,celular,Usa,11926
23,8,805,celular,Usa,44053
24,8,806,celular,Usa,20882
25,8,807,celular,Usa,8821
26,8,808,celular,Usa,4947
27,12,1201,celular,Usa,29346
28,12,1202,celular,Usa,48834
29,12,1203,celular,Usa,10641
30,12,1204,celular,Usa,22792
31,12,1205,celular,Usa,20804
32,12,1206,celular,Usa,27804
33,12,1207,celular,Usa,27653
34,12,1208,celular,Usa,6329
35,12,1209,celular,Usa,20830
36,12,1210,celular,Usa,19690
37,12,1211,celular,Usa,9490
38,12,1212,celular,Usa,14218
39,12,1213,celular,Usa,19074
40,12,1214,celular,Usa,8913
41,12,1215,celular,Usa,37548
42,12,1216,celular,Usa,15922
43,12,1217,celular,Usa,19972
44,12,1218,celular,Usa,5216
45,12,1219,celular,Usa,24248
46,12,1220,celular,Usa,11138
47,12,1221,celular,Usa,7595
48,12,1222,celular,Usa,10775
49,12,1223,celular,Usa,9766
50,12,1224,celular,Usa,9114
51,12,1225,celular,Usa,8821
52,12,1226,celular,Usa,9016
53,12,1227,celular,Usa,7210
54,12,1228,celular,Usa,2843
55,12,1229,celular,Usa,6548
56,12,1230,celular,Usa,13427
57,13,1301,celular,Usa,78001
58,13,1302,celular,Usa,40236
59,13,1303,celular,Usa,9951
60,13,1304,celular,Usa,27888
61,13,1305,celular,Usa,15098
62,13,1306,celular,Usa,18223
63,13,1307,celular,Usa,20648
64,13,1308,celular,Usa,21663
65,13,1309,celular,Usa,23807
66,13,1310,celular,Usa,14362
67,13,1311,celular,Usa,17415
68,13,1312,celular,Usa,26127
69,13,1313,celular,Usa,8587
70,13,1314,celular,Usa,5589
71,13,1315,celular,Usa,16049
72,13,1316,celular,Usa,9646
73,13,1317,celular,Usa,15347
74,13,1318,celular,Usa,12435
75,13,1319,celular,Usa,12048
76,13,1320,celular,Usa,13190
77,13,1321,celular,Usa,4023
78,13,1322,celular,Usa,7525
79,13,1323,celular,Usa,9915
80,13,1324,celular,Usa,8465
81,13,1325,celular,Usa,11179
82,13,1326,celular,Usa,40883
83,13,1327,celular,Usa,24359
84,13,1328,celular,Usa,5099
85,13,1329,celular,Usa,3029
86,13,1330,celular,Usa,5468
87,13,1331,celular,Usa,5399
88,13,1332,celular,Usa,8381
89,13,1333,celular,Usa,3133
90,14,1401,celular,Usa,40240
91,14,1402,celular,Usa,14187
92,14,1403,celular,Usa,5355
93,14,1404,celular,Usa,14412
94,14,1405,celular,Usa,17437
95,14,1406,celular,Usa,63138
96,14,1407,celular,Usa,2733
97,14,1408,celular,Usa,12293
98,14,1409,celular,Usa,15248
99,14,1410,celular,Usa,17028
100,14,1411,celular,Usa,11315
101,14,1412,celular,Usa,36685
102,14,1413,celular,Usa,35444
103,14,1414,celular,Usa,10040
104,14,1415,celular,Usa,21887
105,14,1416,celular,Usa,23558
106,14,1417,celular,Usa,6213
107,14,1418,celular,Usa,5851
108,14,1419,celular,Usa,13552
109,14,1420,celular,Usa,41970
110,14,1421,celular,Usa,5374
111,7,701,celular,No Usa,26897
112,7,702,celular,No Usa,1426
113,7,703,celular,No Usa,456
114,7,704,celular,No Usa,6303
115,7,705,celular,No Usa,30842
116,7,706,celular,No Usa,26346
117,7,707,celular,No Usa,2744
